Version:          1.14.0.16
Ocean Skulltula 2nd Room Jar                       -> 5 Bombs
Ocean Skulltula 2nd Room Lower Pot                 -> Red Potion
Ocean Skulltula 2nd Room Upper Pot                 -> Purple Rupee
Ocean Skulltula 2nd Room Webbed Hole               -> Great Bay Stray Fairy
Ocean Skulltula 2nd Room Webbed Pot                -> Woodfall Stray Fairy
Ocean Skulltula Colored Skulls Behind Picture      -> Small Magic Jar
Ocean Skulltula Colored Skulls Ceiling Edge        -> Gibdo Mask*
Ocean Skulltula Colored Skulls Chandelier 1        -> Red Rupee
Ocean Skulltula Colored Skulls Chandelier 2        -> Small Magic Jar
Ocean Skulltula Colored Skulls Chandelier 3        -> Blue Rupee
Ocean Skulltula Colored Skulls Pot                 -> Great Bay Stray Fairy
Ocean Skulltula Entrance Left Wall                 -> Red Rupee
Ocean Skulltula Entrance Right Wall                -> Milk
Ocean Skulltula Entrance Web                       -> Hero's Shield
Ocean Skulltula Library Behind Bookcase 1          -> Blue Rupee
Ocean Skulltula Library Behind Bookcase 2          -> Large Magic Jar
Ocean Skulltula Library Behind Picture             -> Swamp Skulltula Spirit
Ocean Skulltula Library Ceiling Edge               -> Piece of Heart
Ocean Skulltula Library Hole Behind Cabinet        -> 10 Arrows
Ocean Skulltula Library Hole Behind Picture        -> Large Magic Jar
Ocean Skulltula Library On Corner Bookshelf        -> Woodfall Stray Fairy
Ocean Skulltula Storage Room Behind Boat           -> Large Magic Jar
Ocean Skulltula Storage Room Behind Crate          -> Gold Rupee
Ocean Skulltula Storage Room Ceiling Web           -> Green Rupee
Ocean Skulltula Storage Room Crate                 -> Silver Rupee
Ocean Skulltula Storage Room Jar                   -> Red Rupee
Ocean Spider House Chest                           -> 10 Arrows
Ocean Spider House Day 1 Reward                    -> Blue Rupee
Ocean Spider House Day 2 Reward                    -> Hero's Shield
Ocean Spider House Day 3 Reward                    -> Red Rupee
Oceanside Spider House Entrance Pot                -> Stone Tower Stray Fairy
Oceanside Spider House Entrance Pot 2              -> Hero's Shield
Oceanside Spider House Entrance Pot 3              -> Woodfall Stray Fairy
Oceanside Spider House Main Room Pot               -> Woodfall Stray Fairy
Oceanside Spider House Main Room Pot 2             -> 10 Arrows
Oceanside Spider House Mask Room Pot               -> Red Rupee
Oceanside Spider House Mask Room Pot 2             -> 5 Bombs
Oceanside Spider House Storage Room Pot            -> Blue Rupee
Stone Tower Map Purchase                           -> Green Potion

 Zora Cape
Beaver Race #1                                     -> Stone Tower Stray Fairy
Beaver Race #2                                     -> Blue Rupee
Ocean Great Fairy                                  -> 5 Bombs
Zora Cape Grotto                                   -> 10 Arrows
Zora Cape Jar Game                                 -> Land Title Deed
Zora Cape Ledge With Tree Chest                    -> Woodfall Stray Fairy
Zora Cape Ledge Without Tree Chest                 -> Map of Clock Town
Zora Cape Like-Like                                -> Small Magic Jar
Zora Cape Owl Pot                                  -> Milk
Zora Cape Owl Pot 2                                -> 10 Arrows
Zora Cape Owl Pot 3                                -> 10 Arrows
Zora Cape Underwater Chest                         -> Empty Bottle
Zora Cape Waterfall Pot                            -> Lens of Truth**

 Zora Hall
Bad Pictograph of Lulu                             -> Blue Rupee
Evan                                               -> Small Magic Jar
Good Pictograph of Lulu                            -> Swamp Skulltula Spirit
Lulu's Room Ledge                                  -> Large Quiver
Ocean Scrub Purchase                               -> Red Rupee
Ocean Scrub Trade                                  -> Keaton Mask
Zora Hall Stage Lights                             -> Green Rupee
Zora Shop 10 Arrows                                -> Purple Rupee
Zora Shop Hero's Shield                            -> Ocean Skulltula Spirit
Zora Shop Red Potion                               -> Moon's Tear

 Pirates' Fortress Exterior
Pirates' Fortress Exterior Corner Chest            -> Green Rupee
Pirates' Fortress Exterior Log Chest               -> Swamp Skulltula Spirit
Pirates' Fortress Exterior Sand Chest              -> Bombchu

 Pirates' Fortress Sewer
Pirates' Fortress Cage                             -> Kokiri Sword*
Pirates' Fortress Cage Pot                         -> Swamp Skulltula Spirit
Pirates' Fortress Cage Room Barrel                 -> Large Magic Jar
Pirates' Fortress Cage Room Barrel 2               -> Snowhead Stray Fairy
Pirates' Fortress Cage Room Barrel 3               -> Green Rupee
Pirates' Fortress Cage Room Barrel 4               -> 10 Bombchu
Pirates' Fortress Cage Room Barrel 5               -> Pendant of Memories
Pirates' Fortress Cage Room Deep Chest             -> Green Rupee
Pirates' Fortress Cage Room Shallow Chest          -> Great Bay Stray Fairy
Pirates' Fortress Maze Chest                       -> Purple Rupee
Pirates' Fortress Sewer Exit Barrel                -> Red Rupee
Pirates' Fortress Sewer Exit Barrel 2              -> Swamp Skulltula Spirit
Pirates' Fortress Sewer Exit Barrel 3              -> Heart Container
Pirates' Fortress Sewer Exit Pot                   -> Blue Rupee
Pirates' Fortress Sewer Exit Pot 2                 -> Small Magic Jar
Pirates' Fortress Sewer Gate Pot                   -> Great Bay Stray Fairy

 Pirates' Fortress Interior
Hookshot Chest                                     -> 30 Arrows
Hookshot Room Pot                                  -> Deku Stick
Hookshot Room Pot 2                                -> 10 Arrows
Pirates' Fortress Barrel Maze Egg Pot              -> Bremen Mask
Pirates' Fortress Barrel Maze Egg Pot 2            -> Small Magic Jar
Pirates' Fortress Guarded Egg Pot                  -> Blue Rupee
Pirates' Fortress Interior Guard Room Chest        -> Blue Rupee
Pirates' Fortress Interior Lower Chest             -> Piece of Heart
Pirates' Fortress Interior Tank Chest              -> Woodfall Stray Fairy
Pirates' Fortress Interior Upper Chest             -> 30 Arrows
Pirates' Fortress Lone Guard Egg Pot               -> Green Rupee

 Pinnacle Rock
Pinnacle Rock Lower Chest                          -> Snowhead Stray Fairy
Pinnacle Rock Pot                                  -> Large Magic Jar
Pinnacle Rock Pot 2                                -> Green Rupee
Pinnacle Rock Pot 3                                -> Red Rupee
Pinnacle Rock Pot 4                                -> Deku Stick
Pinnacle Rock Upper Chest                          -> Blue Potion
Seahorses                                          -> 5 Bombs

 Great Bay Temple
Great Bay Bio Babas                                -> Swamp Skulltula Spirit
Great Bay Compass Chest                            -> 5 Bombs
Great Bay Dexihands Jar                            -> Large Magic Jar
Great Bay Entrance Torches                         -> Swamp Skulltula Spirit
Great Bay Green Valve                              -> Blue Rupee
Great Bay Ledge Jar                                -> Red Rupee
Great Bay Map Chest                                -> Purple Rupee
Great Bay Pre-Boss Room Bubble                     -> Gold Rupee
Great Bay Pre-Boss Room Underwater Bubble          -> Blue Rupee
Great Bay Seesaw Room                              -> Red Rupee
Great Bay Skulltula                                -> Blue Rupee
Great Bay Temple Green Pump Barrel                 -> Green Rupee
Great Bay Temple Green Pump Barrel 2               -> Large Magic Jar
Great Bay Temple Red Valve Barrel                  -> Woodfall Stray Fairy
Great Bay Temple Red Valve Barrel 2                -> Bottle with Red Potion
Great Bay Temple Red Valve Crate                   -> Blue Rupee
Great Bay Temple Seesaw Room Pot                   -> Blue Rupee
Great Bay Underwater Barrel                        -> Blue Rupee
Great Bay Water Control Room Underwater Bubble     -> Swamp Skulltula Spirit
Great Bay Waterwheel Room Lower                    -> Razor Sword*
Great Bay Waterwheel Room Upper                    -> 5 Bombs
Great Bay Whirlpool Barrel                         -> Small Magic Jar
Great Bay Whirlpool Jar                            -> Piece of Heart
Gyorg Heart Container                              -> 30 Arrows
Ice Arrow Chest                                    -> Purple Rupee

 Road to Ikana
Invisible Soldier                                  -> Swamp Skulltula Spirit
Path to Ikana Grotto                               -> Green Rupee
Path to Ikana Pillar Chest                         -> Green Rupee

 Ikana Graveyard
Captain Keeta's Chest                              -> Letter to Kafei
Dampe Digging                                      -> Song of Healing
Dampe's Basement Pot                               -> Stone Tower Stray Fairy
Dampe's Basement Pot 2                             -> 5 Bombs
Dampe's Basement Pot 3                             -> Milk
Dampe's Basement Pot 4                             -> Heart Container
Dampe's Basement Pot 5                             -> Garo's Mask*
Dampe's Basement Pot 6                             -> Piece of Heart
Dampe's Basement Pot 7                             -> Crimson Rupee
Dampe's Basement Pot 8                             -> Green Rupee
Day 1 Grave Bats                                   -> Small Magic Jar
Day 1 Grave Tablet                                 -> Green Rupee
Ikana Graveyard Day 2 Bats                         -> Largest Quiver
Ikana Graveyard Grass                              -> Green Rupee
Ikana Graveyard Grass 2                            -> Red Rupee
Ikana Graveyard Grass 3                            -> Small Magic Jar
Ikana Graveyard Grotto                             -> Red Rupee
Iron Knuckle Chest                                 -> Light Arrow**
Night 1 Grave Pot                                  -> Purple Rupee
Night 1 Grave Pot 2                                -> Blue Rupee
Night 2 Grave Pot                                  -> Blue Rupee
Night 2 Grave Pot 2                                -> Goron Lullaby**

 Ikana Canyon
Canyon Scrub Purchase                              -> Silver Rupee
Canyon Scrub Trade                                 -> Piece of Heart
Ikana Canyon Cleared Grass                         -> Ocean Skulltula Spirit
Ikana Canyon Cleared Grass 2                       -> Stone Tower Stray Fairy
Ikana Canyon Cleared Grass 3                       -> Small Magic Jar
Ikana Canyon Grass                                 -> Red Rupee
Ikana Canyon Grass 2                               -> Magic Bean
Ikana Canyon Grass 3                               -> 10 Arrows
Ikana Canyon Ledge                                 -> Piece of Heart
Ikana Great Fairy                                  -> Red Rupee
Pamela's Father                                    -> Small Magic Jar
Poe Hut                                            -> 10 Arrows
Secret Shrine Grotto                               -> Red Rupee

 Beneath the Well
Cow Beneath the Well                               -> Purple Rupee
Mirror Shield Chest                                -> Stone Tower Stray Fairy
Well Left Path Chest                               -> 10 Deku Nuts
Well Left Path Pot                                 -> Couple's Mask
Well Left Path Pot 2                               -> Small Magic Jar
Well Left Path Pot 3                               -> Red Potion
Well Left Path Pot 4                               -> 10 Arrows
Well Left Path Pot 5                               -> Stone Tower Stray Fairy
Well Right Path Chest                              -> Swamp Skulltula Spirit

 Ikana Castle
Ikana Castle Courtyard Grass                       -> Small Magic Jar
Ikana Castle Courtyard Grass 2                     -> Piece of Heart
Ikana Castle Courtyard Grass 3                     -> Stone Tower Stray Fairy
Ikana Castle Courtyard Grass 4                     -> Piece of Heart
Ikana Castle Fire Ceiling Room Pot                 -> Blue Rupee
Ikana Castle Hole Room Pot                         -> Bombchu
Ikana Castle Hole Room Pot 2                       -> 10 Arrows
Ikana Castle Left Staircase Pot                    -> Deku Stick
Ikana Castle Pillar                                -> Stone Tower Stray Fairy
Ikana King                                         -> 10 Arrows
Ikana King Entry Pot                               -> Red Rupee
Ikana King Entry Pot 2                             -> Small Magic Jar
Ikana King Entry Pot 3                             -> 30 Arrows
Ikana King Pot                                     -> Piece of Heart
Ikana King Pot 2                                   -> Piece of Heart
Ikana King Pot 3                                   -> Snowhead Stray Fairy

 Stone Tower
Inverted Stone Tower Left Chest                    -> Blue Rupee
Inverted Stone Tower Middle Chest                  -> Blue Rupee
Inverted Stone Tower Pot                           -> Large Magic Jar
Inverted Stone Tower Pot 2                         -> Swamp Skulltula Spirit
Inverted Stone Tower Right Chest                   -> Green Rupee
Stone Tower Lower Scarecrow Pot                    -> Large Magic Jar
Stone Tower Lower Scarecrow Pot 2                  -> Small Magic Jar
Stone Tower Lower Scarecrow Pot 3                  -> 5 Bombs
Stone Tower Owl Pot                                -> Red Rupee
Stone Tower Owl Pot 2                              -> Ocean Skulltula Spirit
Stone Tower Owl Pot 3                              -> Piece of Heart
Stone Tower Soft Soil Lower                        -> Swamp Skulltula Spirit
Stone Tower Soft Soil Upper                        -> Empty Bottle
Stone Tower Upper Scarecrow Pot                    -> Swamp Skulltula Spirit
Stone Tower Upper Scarecrow Pot 2                  -> Blue Rupee
Stone Tower Upper Scarecrow Pot 3                  -> Piece of Heart
Stone Tower Upper Scarecrow Pot 4                  -> Red Rupee

 Stone Tower Temple
Giant's Mask Chest                                 -> Ocean Skulltula Spirit
Light Arrow Chest                                  -> Piece of Heart
Stone Tower Basement Ledge                         -> Woodfall Stray Fairy
Stone Tower Boss Warp                              -> Silver Rupee
Stone Tower Bridge Crystal                         -> Large Magic Jar
Stone Tower Compass Chest                          -> Piece of Heart
Stone Tower Death Armos                            -> Piece of Heart
Stone Tower Eyegore                                -> Fairy
Stone Tower Lava Room Fire Ring                    -> Swamp Skulltula Spirit
Stone Tower Lava Room Ledge                        -> Blue Rupee
Stone Tower Map Chest                              -> Small Magic Jar
Stone Tower Mirror Sun Block                       -> Clock Town Stray Fairy
Stone Tower Mirror Sun Switch                      -> Great Bay Stray Fairy
Stone Tower Statue Eye                             -> Piece of Heart
Stone Tower Temple Mirror Room Crate               -> Green Rupee
Stone Tower Temple Mirror Room Crate 2             -> Woodfall Stray Fairy
Stone Tower Thin Bridge                            -> Ocean Skulltula Spirit
Stone Tower Underwater                             -> Ocean Skulltula Spirit
Stone Tower Updraft Fire Ring                      -> Blue Potion
Stone Tower Updraft Frozen Eye                     -> Bottle with Gold Dust
Stone Tower Wizzrobe                               -> Song of Soaring
Twinmold Heart Container                           -> Great Bay Stray Fairy

 Secret Shrine
Secret Shrine Dinolfos Chest                       -> 10 Arrows
Secret Shrine Final Chest                          -> Small Magic Jar
Secret Shrine Garo Master Chest                    -> 10 Deku Nuts
Secret Shrine Soft Soil                            -> Piece of Heart
Secret Shrine Underwater Pot                       -> Stone Tower Stray Fairy
Secret Shrine Underwater Pot 2                     -> Piece of Heart
Secret Shrine Underwater Pot 3                     -> Adult Wallet
Secret Shrine Underwater Pot 4                     -> Silver Rupee
Secret Shrine Wart Chest                           -> Piece of Heart
Secret Shrine Wizzrobe Chest                       -> 10 Arrows

 The Moon
Clock Tower Rooftop Pot                            -> Small Magic Jar
Clock Tower Rooftop Pot 2                          -> 10 Arrows
Clock Tower Rooftop Pot 3                          -> Small Magic Jar
Clock Tower Rooftop Pot 4                          -> Blue Rupee
Deku Trial Bonus                                   -> Swamp Skulltula Spirit
Goron Trial Bonus                                  -> Piece of Heart
Link Trial Bonus                                   -> Green Rupee
Link Trial Garo Master Chest                       -> 10 Arrows
Link Trial Iron Knuckle Chest                      -> Piece of Heart
Link Trial Pot                                     -> Deku Stick
Link Trial Pot 2                                   -> Small Magic Jar
Link Trial Pot 3                                   -> Large Magic Jar
Link Trial Pot 4                                   -> Piece of Heart
Majora Child                                       -> Blue Rupee
Zora Trial Bonus                                   -> Blue Rupee

 Randomizing 74 song slots, with 203 available songs:
mm-c-titlescreen                                    -> mm-c-giantscs
mm-f-clearshort                                     -> mm-f-clearshort
mm-swordschool                                      -> oot-kokiriforest
mm-f-gameover                                       -> sm64-f-bowser
mm-aliens                                           -> mm-giants
mm-guruguru                                         -> sm64-lll
mm-woodfalltemple                                   -> oot-spirittemple
mm-fairyfountain                                    -> mm-house
mm-f-gotitem                                        -> mm-f-horsewin
mm-f-fail                                           -> mm-f-gameover
mm-ikanacanyon                                      -> uc-field
mm-incarnation                                      -> sm64-finalbowser
mm-caves                                            -> mm-caves
mm-clocktower                                       -> sf64-zoness
mm-f-bossdown                                       -> sm64-f-bitsclear
mm-terminafield                                     -> mk64-kd
mm-finalhours                                       -> mm-finalhours
mm-musicbox                                         -> oot-templeoftime
mm-chase                                            -> sm64-steps
mm-goroncity                                        -> sf64-titania
mm-horserace                                        -> mm-milkbar
mm-keaton                                           -> mm-musicbox
mm-clocktown2                                       -> mk64-lr
mm-fileselect                                       -> uc-snowfield
mm-f-moonclear                                      -> oot-f-medallion
mm-f-mask                                           -> sm64-f-unlock
mm-f-soar                                           -> mm-f-smallitem
mm-f-song                                           -> mm-f-goronwin
mm-shop                                             -> mm-kaepora
mm-pianopractice                                    -> mm-pianopractice
mm-f-goronwin                                       -> sm64-f-starget
mm-observatory                                      -> uc-dream
mm-f-chasefail                                      -> mm-f-fail
mm-gormanbros                                       -> mm-dekupalace
mm-southernswamp                                    -> mm-goroncity
mm-stonetower                                       -> mm-woodfalltemple
mm-f-dungeonclearlong                               -> oot-f-opendot
mm-wrath                                            -> oot-miniboss
mm-laboratory                                       -> oot-kakariko2
mm-invertedstonetower                               -> sm64-hmc
mm-f-dungeonclearshort                              -> sm64-f-savepeach
mm-clocktown3                                       -> uc-village
mm-snowheadmountains                                -> uc-mountain
mm-f-meet                                           -> sm64-f-race
mm-boatcruise                                       -> mm-horserace
mm-house                                            -> sm64-jrb
mm-romaniranch                                      -> oot-gerudovalley
mm-boss                                             -> oot-ganondorfbattle
mm-combat                                           -> mk64-bb
mm-dekupalace                                       -> mk64-kb
mm-f-dungeonopen                                    -> mm-f-meet
mm-mysterywoods                                     -> mm-piratefortress
mm-milkbar                                          -> mm-goronrace
mm-witches                                          -> sm64-ccm
mm-miniboss                                         -> mm-miniboss
mm-clocktown1                                       -> uc-goronvillage
mm-f-heart                                          -> sm64-f-peach
mm-f-giantsleave                                    -> oot-f-stone
mm-f-smallitem                                      -> sm64-f-star
mm-kamaros-mask                                     -> mm-kamaros-mask
mm-meeting                                          -> sf64-boss3
mm-ikanacastle                                      -> sf64-aquas
mm-snowheadtemple                                   -> botw-hyrulecastle
mm-greatbaycoast                                    -> mm-greatbaycoast
mm-greatbaytemple                                   -> uc-dungeon
mm-goronrace                                        -> mm-minigame
mm-shootinggallery                                  -> mmr-theme
mm-sharp                                            -> uc-zora
mm-mask                                             -> oot-boss
mm-piratefortress                                   -> sf64-venom
mm-f-horsewin                                       -> mm-f-gotitem
mm-minigame                                         -> mm-maskreveal
mm-kaepora                                          -> mm-reunion
mm-zorahall                                         -> sf64-starwolf
