Version:          1.14.0.16
mm-woodfalltemple                                   -> mm-caves
mm-piratefortress                                   -> uc-predungeon
mm-terminafield                                     -> botw-hyrulecastle
mm-milkbar                                          -> mm-swordschool
mm-musicbox                                         -> oot-sheik
mm-romaniranch                                      -> mm-clocktown1
mm-zorahall                                         -> mm-mysterywoods
mm-f-meet                                           -> mm-f-goronwin
mm-f-dungeonopen                                    -> oot-f-ganondorf
mm-wrath                                            -> mm-boss
mm-f-soar                                           -> sm64-f-starget
mm-miniboss                                         -> uc-boss
mm-observatory                                      -> mk64-cm
mm-f-gameover                                       -> mm-f-chasefail
mm-ikanacastle                                      -> oot-ganoncastle
mm-f-gotitem                                        -> sm64-f-toad
mm-f-song                                           -> mm-f-smallitem
mm-greatbaytemple                                   -> mm-stonetower
mm-clocktown1                                       -> uc-gerudobay
mm-chase                                            -> sf64-boss3
mm-f-chasefail                                      -> mm-f-gameover
mm-f-mask                                           -> oot-f-stone
mm-mask                                             -> mm-miniboss
mm-house                                            -> mm-laboratory
mm-shootinggallery                                  -> sm64-lullaby
mm-boatcruise                                       -> mm-minigame
mm-f-horsewin                                       -> mm-f-gotitem
mm-keaton                                           -> ss-groose
mm-laboratory                                       -> uc-dream
mm-incarnation                                      -> sm64-finalbowser
mm-f-fail                                           -> sm64-f-lakitu
mm-swordschool                                      -> mm-chase
mm-finalhours                                       -> mm-finalhours
mm-goronrace                                   LUCK -> mm-clocktower
mm-stonetower                                       -> mm-snowheadtemple
mm-mysterywoods                                     -> mm-terminafield
mm-f-dungeonclearshort                              -> mm-f-giantsleave
mm-f-bossdown                                       -> sm64-f-intro
mm-clocktown3                                       -> uc-dekuforest
mm-pianopractice                                    -> uc-fileselect
mm-f-heart                                          -> sm64-f-bowserclear
mm-shop                                             -> mm-musicbox
mm-guruguru                                         -> mm-kaepora
mm-f-moonclear                                      -> mm-f-dungeonclearlong
mm-kamaros-mask                                     -> mm-kamaros-mask
mm-ikanacanyon                                      -> uc-mountain
mm-kaepora                                          -> mmr-theme
mm-f-goronwin                                       -> oot-f-opendot
mm-f-giantsleave                                    -> mm-f-dungeonclearshort
mm-invertedstonetower                               -> mm-greatbaytemple
mm-f-dungeonclearlong                               -> oot-f-medallion
mm-southernswamp                                    -> mm-clocktown3
mm-combat                                           -> sm64-battlefield
mm-dekupalace                                       -> mm-clocktown2
mm-caves                                            -> oot-dodongocavern
mm-minigame                                         -> oot-ganondorf
mm-clocktower                                       -> mk64-mmf
mm-fairyfountain                                    -> mk64-kd
mm-snowheadmountains                                -> uc-field
mm-boss                                             -> sm64-boss
mm-gormanbros                                       -> sm64-slide
