Version:          1.14.0.16
Ocean Spider House Chest                           -> Snowhead Stray Fairy
Ocean Spider House Day 1 Reward                    -> Small Magic Jar
Ocean Spider House Day 2 Reward                    -> Small Magic Jar
Ocean Spider House Day 3 Reward                    -> 5 Bombchu
Oceanside Spider House Entrance Pot                -> Small Magic Jar
Oceanside Spider House Entrance Pot 2              -> Blue Rupee
Oceanside Spider House Entrance Pot 3              -> Small Magic Jar
Oceanside Spider House Main Room Pot               -> Great Fairy's Sword*
Oceanside Spider House Main Room Pot 2             -> Silver Rupee
Oceanside Spider House Mask Room Pot               -> Purple Rupee
Oceanside Spider House Mask Room Pot 2             -> Gibdo Mask*
Oceanside Spider House Storage Room Pot            -> 30 Arrows
Stone Tower Map Purchase                           -> Small Magic Jar

 Zora Cape
Beaver Race #1                                     -> Silver Rupee
Beaver Race #2                                     -> Swamp Skulltula Spirit
Ocean Great Fairy                                  -> Small Magic Jar
Zora Cape Grotto                                   -> Green Rupee
Zora Cape Jar Game                                 -> Small Magic Jar
Zora Cape Ledge With Tree Chest                    -> Silver Rupee
Zora Cape Ledge Without Tree Chest                 -> Piece of Heart
Zora Cape Like-Like                                -> 5 Bombs
Zora Cape Owl Pot                                  -> Piece of Heart
Zora Cape Owl Pot 2                                -> Piece of Heart
Zora Cape Owl Pot 3                                -> Green Rupee
Zora Cape Underwater Chest                         -> Blue Rupee
Zora Cape Waterfall Pot                            -> Small Magic Jar

 Zora Hall
Bad Pictograph of Lulu                             -> Blue Rupee
Evan                                               -> Giant Wallet
Good Pictograph of Lulu                            -> Double Defense
Lulu's Room Ledge                                  -> Great Bay Stray Fairy
Ocean Scrub Purchase                               -> Piece of Heart
Ocean Scrub Trade                                  -> Song of Soaring
Zora Hall Stage Lights                             -> 30 Arrows
Zora Shop 10 Arrows                                -> Swamp Skulltula Spirit
Zora Shop Hero's Shield                            -> Ocean Skulltula Spirit
Zora Shop Red Potion                               -> Green Rupee

 Pirates' Fortress Exterior
Pirates' Fortress Exterior Corner Chest            -> Ocean Title Deed
Pirates' Fortress Exterior Log Chest               -> Kafei's Mask**
Pirates' Fortress Exterior Sand Chest              -> Blue Rupee

 Pirates' Fortress Sewer
Pirates' Fortress Cage                             -> Green Rupee
Pirates' Fortress Cage Pot                         -> Piece of Heart
Pirates' Fortress Cage Room Barrel                 -> Piece of Heart
Pirates' Fortress Cage Room Barrel 2               -> All-Night Mask
Pirates' Fortress Cage Room Barrel 3               -> Blue Rupee
Pirates' Fortress Cage Room Barrel 4               -> Large Magic Jar
Pirates' Fortress Cage Room Barrel 5               -> Ocean Skulltula Spirit
Pirates' Fortress Cage Room Deep Chest             -> Large Magic Jar
Pirates' Fortress Cage Room Shallow Chest          -> Small Magic Jar
Pirates' Fortress Maze Chest                       -> Silver Rupee
Pirates' Fortress Sewer Exit Barrel                -> 30 Arrows
Pirates' Fortress Sewer Exit Barrel 2              -> Red Rupee
Pirates' Fortress Sewer Exit Barrel 3              -> Goron Lullaby**
Pirates' Fortress Sewer Exit Pot                   -> 10 Arrows
Pirates' Fortress Sewer Exit Pot 2                 -> Letter to Mama**
Pirates' Fortress Sewer Gate Pot                   -> Blue Rupee

 Pirates' Fortress Interior
Hookshot Chest                                     -> Ocean Skulltula Spirit
Hookshot Room Pot                                  -> Great Bay Compass
Hookshot Room Pot 2                                -> Magic Bean
Pirates' Fortress Barrel Maze Egg Pot              -> Piece of Heart
Pirates' Fortress Barrel Maze Egg Pot 2            -> Piece of Heart
Pirates' Fortress Guarded Egg Pot                  -> Small Magic Jar
Pirates' Fortress Interior Guard Room Chest        -> Red Rupee
Pirates' Fortress Interior Lower Chest             -> Snowhead Map
Pirates' Fortress Interior Tank Chest              -> Small Magic Jar
Pirates' Fortress Interior Upper Chest             -> Red Rupee
Pirates' Fortress Lone Guard Egg Pot               -> Silver Rupee

 Pinnacle Rock
Pinnacle Rock Lower Chest                          -> 10 Arrows
Pinnacle Rock Pot                                  -> Swamp Skulltula Spirit
Pinnacle Rock Pot 2                                -> Large Magic Jar
Pinnacle Rock Pot 3                                -> Large Magic Jar
Pinnacle Rock Pot 4                                -> Deku Stick
Pinnacle Rock Upper Chest                          -> Milk
Seahorses                                          -> Gold Rupee

 Great Bay Temple
Great Bay Bio Babas                                -> Red Rupee
Great Bay Boss Key Chest                           -> Blue Rupee
Great Bay Compass Chest                            -> 5 Bombs
Great Bay Dexihands Jar                            -> Stone Tower Stray Fairy
Great Bay Entrance Torches                         -> Magic Bean
Great Bay Green Valve                              -> Red Rupee
Great Bay Ledge Jar                                -> Piece of Heart
Great Bay Map Chest                                -> Mirror Shield
Great Bay Pre-Boss Room Bubble                     -> 30 Arrows
Great Bay Pre-Boss Room Underwater Bubble          -> Small Magic Jar
Great Bay Seesaw Room                              -> Blue Rupee
Great Bay Skulltula                                -> Green Potion
Great Bay Small Key Chest                          -> 10 Deku Nuts
Great Bay Temple Green Pump Barrel                 -> Large Magic Jar
Great Bay Temple Green Pump Barrel 2               -> Large Magic Jar
Great Bay Temple Red Valve Barrel                  -> Stone Tower Stray Fairy
Great Bay Temple Red Valve Barrel 2                -> Swamp Skulltula Spirit
Great Bay Temple Red Valve Crate                   -> Large Magic Jar
Great Bay Temple Seesaw Room Pot                   -> Ocean Skulltula Spirit
Great Bay Underwater Barrel                        -> Kokiri Sword*
Great Bay Water Control Room Underwater Bubble     -> Circus Leader's Mask
Great Bay Waterwheel Room Lower                    -> 10 Deku Nuts
Great Bay Waterwheel Room Upper                    -> Silver Rupee
Great Bay Whirlpool Barrel                         -> Blue Rupee
Great Bay Whirlpool Jar                            -> Green Rupee
Gyorg Heart Container                              -> Woodfall Stray Fairy
Ice Arrow Chest                                    -> Stone Tower Small Key*

 Road to Ikana
Invisible Soldier                                  -> Letter to Kafei
Path to Ikana Grotto                               -> Small Magic Jar
Path to Ikana Pillar Chest                         -> Ocean Skulltula Spirit

 Ikana Graveyard
Captain Keeta's Chest                              -> Deku Stick
Dampe Digging                                      -> Piece of Heart
Dampe's Basement Pot                               -> Purple Rupee
Dampe's Basement Pot 2                             -> Small Magic Jar
Dampe's Basement Pot 3                             -> 10 Arrows
Dampe's Basement Pot 4                             -> Blue Rupee
Dampe's Basement Pot 5                             -> Snowhead Stray Fairy
Dampe's Basement Pot 6                             -> Piece of Heart
Dampe's Basement Pot 7                             -> Ocean Skulltula Spirit
Dampe's Basement Pot 8                             -> 30 Arrows
Day 1 Grave Bats                                   -> Gilded Sword*
Day 1 Grave Tablet                                 -> 5 Bombs
Ikana Graveyard Day 2 Bats                         -> Great Bay Stray Fairy
Ikana Graveyard Grass                              -> Bottle with Chateau Romani
Ikana Graveyard Grass 2                            -> Red Rupee
Ikana Graveyard Grass 3                            -> Ocean Skulltula Spirit
Ikana Graveyard Grotto                             -> Red Rupee
Iron Knuckle Chest                                 -> Red Rupee
Night 1 Grave Pot                                  -> Red Rupee
Night 1 Grave Pot 2                                -> Small Magic Jar
Night 2 Grave Pot                                  -> 10 Arrows
Night 2 Grave Pot 2                                -> Small Magic Jar

 Ikana Canyon
Canyon Scrub Purchase                              -> Great Bay Stray Fairy
Canyon Scrub Trade                                 -> Piece of Heart
Ikana Canyon Cleared Grass                         -> Large Magic Jar
Ikana Canyon Cleared Grass 2                       -> 10 Arrows
Ikana Canyon Cleared Grass 3                       -> Green Rupee
Ikana Canyon Grass                                 -> Milk
Ikana Canyon Grass 2                               -> Small Magic Jar
Ikana Canyon Grass 3                               -> Deku Stick
Ikana Canyon Ledge                                 -> Large Magic Jar
Ikana Great Fairy                                  -> Bottle with Red Potion
Pamela's Father                                    -> 5 Bombs
Poe Hut                                            -> Blue Rupee
Secret Shrine Grotto                               -> Ocean Skulltula Spirit

 Beneath the Well
Cow Beneath the Well                               -> Piece of Heart
Mirror Shield Chest                                -> Red Rupee
Well Left Path Chest                               -> Blue Rupee
Well Left Path Pot                                 -> Ocean Skulltula Spirit
Well Left Path Pot 2                               -> Large Magic Jar
Well Left Path Pot 3                               -> Piece of Heart
Well Left Path Pot 4                               -> 5 Bombs
Well Left Path Pot 5                               -> Piece of Heart
Well Right Path Chest                              -> Woodfall Stray Fairy

 Ikana Castle
Ikana Castle Courtyard Grass                       -> Great Bay Stray Fairy
Ikana Castle Courtyard Grass 2                     -> Small Magic Jar
Ikana Castle Courtyard Grass 3                     -> Piece of Heart
Ikana Castle Courtyard Grass 4                     -> 10 Bombchu
Ikana Castle Fire Ceiling Room Pot                 -> 10 Arrows
Ikana Castle Hole Room Pot                         -> Large Magic Jar
Ikana Castle Hole Room Pot 2                       -> Small Magic Jar
Ikana Castle Left Staircase Pot                    -> 5 Bombs
Ikana Castle Pillar                                -> Woodfall Compass
Ikana King                                         -> 10 Arrows
Ikana King Entry Pot                               -> Purple Rupee
Ikana King Entry Pot 2                             -> Heart Container
Ikana King Entry Pot 3                             -> Red Rupee
Ikana King Pot                                     -> Small Magic Jar
Ikana King Pot 2                                   -> Large Magic Jar
Ikana King Pot 3                                   -> Green Rupee

 Stone Tower
Inverted Stone Tower Left Chest                    -> Big Bomb Bag
Inverted Stone Tower Middle Chest                  -> Blue Rupee
Inverted Stone Tower Pot                           -> Land Title Deed
Inverted Stone Tower Pot 2                         -> Green Rupee
Inverted Stone Tower Right Chest                   -> Great Bay Stray Fairy
Stone Tower Lower Scarecrow Pot                    -> Ocean Skulltula Spirit
Stone Tower Lower Scarecrow Pot 2                  -> Piece of Heart
Stone Tower Lower Scarecrow Pot 3                  -> Piece of Heart
Stone Tower Owl Pot                                -> Piece of Heart
Stone Tower Owl Pot 2                              -> 10 Arrows
Stone Tower Owl Pot 3                              -> Blue Rupee
Stone Tower Soft Soil Lower                        -> Green Potion
Stone Tower Soft Soil Upper                        -> Snowhead Stray Fairy
Stone Tower Upper Scarecrow Pot                    -> Piece of Heart
Stone Tower Upper Scarecrow Pot 2                  -> Snowhead Boss Key**
Stone Tower Upper Scarecrow Pot 3                  -> Red Potion
Stone Tower Upper Scarecrow Pot 4                  -> Large Magic Jar

 Stone Tower Temple
Giant's Mask Chest                                 -> Piece of Heart
Light Arrow Chest                                  -> Piece of Heart
Stone Tower Armos Room Chest                       -> 10 Arrows
Stone Tower Basement Ledge                         -> Small Magic Jar
Stone Tower Boss Key Chest                         -> Blue Rupee
Stone Tower Boss Warp                              -> Small Magic Jar
Stone Tower Bridge Crystal                         -> Blue Rupee
Stone Tower Compass Chest                          -> Piece of Heart
Stone Tower Death Armos                            -> Large Magic Jar
Stone Tower Death Armos Maze Chest                 -> Deku Stick
Stone Tower Eyegore                                -> Snowhead Stray Fairy
Stone Tower Eyegore Room Chest                     -> Swamp Skulltula Spirit
Stone Tower Lava Room Fire Ring                    -> 10 Arrows
Stone Tower Lava Room Ledge                        -> Large Magic Jar
Stone Tower Map Chest                              -> 30 Arrows
Stone Tower Mirror Sun Block                       -> Large Magic Jar
Stone Tower Mirror Sun Switch                      -> Blue Rupee
Stone Tower Statue Eye                             -> 5 Bombchu
Stone Tower Temple Mirror Room Crate               -> Small Magic Jar
Stone Tower Temple Mirror Room Crate 2             -> Blue Rupee
Stone Tower Thin Bridge                            -> Green Rupee
Stone Tower Underwater                             -> Snowhead Stray Fairy
Stone Tower Updraft Fire Ring                      -> Small Magic Jar
Stone Tower Updraft Frozen Eye                     -> Blue Rupee
Stone Tower Updraft Room Chest                     -> Green Rupee
Stone Tower Wizzrobe                               -> Fire Arrow**
Twinmold Heart Container                           -> Green Rupee

 Secret Shrine
Secret Shrine Dinolfos Chest                       -> Silver Rupee
Secret Shrine Final Chest                          -> 10 Deku Nuts
Secret Shrine Garo Master Chest                    -> 10 Bombchu
Secret Shrine Soft Soil                            -> Largest Quiver
Secret Shrine Underwater Pot                       -> Ocean Skulltula Spirit
Secret Shrine Underwater Pot 2                     -> Gold Rupee
Secret Shrine Underwater Pot 3                     -> Small Magic Jar
Secret Shrine Underwater Pot 4                     -> Piece of Heart
Secret Shrine Wart Chest                           -> Woodfall Stray Fairy
Secret Shrine Wizzrobe Chest                       -> Red Potion

 The Moon
Clock Tower Rooftop Pot                            -> Purple Rupee
Clock Tower Rooftop Pot 2                          -> Swamp Skulltula Spirit
Clock Tower Rooftop Pot 3                          -> Stone Tower Stray Fairy
Clock Tower Rooftop Pot 4                          -> 10 Arrows
Deku Trial Bonus                                   -> Stone Tower Stray Fairy
Goron Trial Bonus                                  -> Red Rupee
Link Trial Bonus                                   -> Great Bay Stray Fairy
Link Trial Garo Master Chest                       -> Small Magic Jar
Link Trial Iron Knuckle Chest                      -> Woodfall Stray Fairy
Link Trial Pot                                     -> Deku Stick
Link Trial Pot 2                                   -> Large Magic Jar
Link Trial Pot 3                                   -> Small Magic Jar
Link Trial Pot 4                                   -> Large Magic Jar
Majora Child                                       -> Piece of Heart
Zora Trial Bonus                                   -> Large Magic Jar

 Randomizing 74 song slots, with 203 available songs:
mm-f-gotitem                                        -> mm-f-smallitem
mm-f-chasefail                                      -> mm-f-soar
mm-dekupalace                                       -> mm-gormanbros
mm-goronrace                                        -> sm64-battlefield
mm-f-giantsleave                                    -> mm-f-moonclear
mm-f-soar                                           -> mm-f-goronwin
mm-meeting                                          -> uc-dekutree
mm-wrath                                            -> sf64-boss2
mm-southernswamp                                    -> mm-dekupalace
mm-aliens                                           -> mk64-ceremony
mm-goroncity                                        -> mk64-tt
mm-combat                                           -> mm-wagonride
mm-kamaros-mask                                     -> mm-kamaros-mask
mm-clocktower                                       -> botw-kass
mm-snowheadtemple                                   -> pa-ikanacastle
mm-clocktown3                                       -> mmr-theme
mm-fairyfountain                                    -> uc-goronvillage
mm-f-smallitem                                      -> oot-f-stone
mm-horserace                                        -> sm64-mgr
mm-f-clearshort                                     -> sm64-f-starget
mm-swordschool                                      -> mm-laboratory
mm-invertedstonetower                               -> oot-spirittemple
mm-f-song                                           -> sm64-f-bowserclear
mm-incarnation                                      -> oot-boss
mm-romaniranch                                      -> mk64-lr
mm-shop                                        LUCK -> mm-piratefortress
mm-clocktown1                                       -> sf64-corneria
mm-miniboss                                         -> mm-mask
mm-laboratory                                       -> mm-reunion
mm-greatbaytemple                                   -> mk64-bb
mm-chase                                            -> sf64-bolse
mm-f-bossdown                                       -> mm-f-dungeonclearshort
mm-zorahall                                         -> sf64-starwolf
mm-shootinggallery                                  -> oot-templeoftime
mm-piratefortress                                   -> pm-field
mm-woodfalltemple                                   -> sf64-sectory
mm-mask                                             -> oot-ganon
mm-minigame                                         -> mm-aliens
mm-mysterywoods                                     -> mm-snowheadmountains
mm-ikanacastle                                      -> oot-foresttemple
mm-witches                                          -> oot-kokiriforest
mm-c-titlescreen                                    -> oot-c-goddess
mm-f-gameover                                       -> mm-f-chasefail
mm-finalhours                                       -> mm-finalhours
mm-ikanacanyon                                      -> mm-clocktown2
mm-clocktown2                                       -> mk64-kd
mm-f-meet                                           -> oot-f-timetravel
mm-greatbaycoast                                    -> mm-ikanacanyon
mm-fileselect                                       -> mm-sharp
mm-boatcruise                                       -> mm-giants
mm-house                                            -> mm-shootinggallery
mm-pianopractice                                    -> mm-pianopractice
mm-keaton                                           -> uc-zora
mm-f-dungeonclearshort                              -> mm-f-bossdown
mm-snowheadmountains                                -> mm-terminafield
mm-observatory                                      -> sm64-fileselect
mm-f-dungeonclearlong                               -> oot-f-opendot
mm-kaepora                                          -> oot-navi
mm-f-heart                                          -> sm64-f-solved
mm-f-dungeonopen                                    -> mm-f-horsewin
mm-gormanbros                                       -> uc-dekuforest
mm-f-horsewin                                       -> mm-f-gotitem
mm-musicbox                                         -> sm64-steps
mm-f-moonclear                                      -> mm-f-dungeonclearlong
mm-sharp                                            -> mm-swordschool
mm-f-fail                                           -> mm-f-gameover
mm-stonetower                                       -> mm-greatbaytemple
mm-guruguru                                         -> mm-clocktower
mm-milkbar                                          -> mm-horserace
mm-f-mask                                           -> sm64-f-star
mm-terminafield                                     -> mm-ikanacastle
mm-boss                                             -> sm64-boss
mm-caves                                            -> mm-woodfalltemple
mm-f-goronwin                                       -> sm64-f-toad
